country,region,population,area_sq_miles,population_density_per_sq_mile,infant_mortality_per_1000,gdp_usd_per_capita,literacy_percent,phones_per_1000,birthrate,deathrate
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,91.23,1300,70.4,2.7,40.37,16.09
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,19,2500,97.0,293.3,12.13,6.53
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,14.49,8800,97.0,638.9,18.02,8.33
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,13.53,5400,67.0,303.3,19.68,5.08
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29.0,7.54,6900,99.0,683.2,13.52,6.83
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303.0,14.78,2900,96.0,190.9,16.18,5.98
Samoa ,OCEANIA                            ,176908,2944,60.1,27.71,5600,99.7,75.2,16.43,6.62
San Marino ,WESTERN EUROPE                     ,29251,61,479.5,5.73,34600,96.0,704.3,10.02,8.17
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,43.11,1200,79.3,36.2,40.25,6.47
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,13.24,11800,78.8,140.6,29.34,2.58
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,55.51,1600,40.2,22.2,32.78,9.42
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,12.89,2200,93.0,285.8,,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,15.53,7800,58.0,262.4,16.03,6.29
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,143.64,500,31.4,4.0,45.76,23.03
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,2.29,23700,92.5,411.4,9.34,4.28
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,7.41,13300,,220.1,10.65,9.45
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,4.45,19000,99.7,406.1,8.98,10.31
Solomon Islands ,OCEANIA                            ,552438,28450,19.4,21.29,1700,,13.4,30.01,3.92
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,116.7,500,37.8,11.3,45.13,16.63
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,61.81,10700,86.4,107.0,18.2,22
Spain ,WESTERN EUROPE                     ,40397842,504782,80.0,4.42,22000,97.9,453.5,10.06,9.72
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,14.35,3700,92.3,61.5,15.51,6.52
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,62.5,1900,61.1,16.3,34.53,8.97
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,23.57,4000,93.0,184.7,18.02,7.27
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,69.27,4900,81.6,30.8,27.41,29.74
Sweden ,WESTERN EUROPE                     ,9016596,449964,20.0,2.77,26800,99.0,715.0,10.27,10.31
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,4.39,32700,99.0,680.9,9.71,8.49
Syria ,NEAR EAST                          ,18881361,185180,102.0,29.53,3300,76.9,153.8,27.76,4.81
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,6.4,23400,96.1,591.0,12.56,6.48
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,110.76,1000,99.4,33.5,32.65,8.25
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,98.54,600,78.2,4.0,37.71,16.39
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,20.48,7400,92.6,108.9,13.87,7.04
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,66.61,1500,60.9,10.6,37.01,9.83
Tonga ,OCEANIA                            ,114689,748,153.3,12.62,2200,98.5,97.7,25.37,5.28
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,24.31,9500,98.6,303.5,12.9,10.57
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,24.77,6900,74.2,123.6,15.52,5.13
Turkey ,NEAR EAST                          ,70413958,780580,90.2,41.04,6700,86.5,269.5,16.62,5.97
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,73.08,5800,98.0,74.6,27.61,8.6
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,15.67,9600,98.0,269.5,21.84,4.21
Tuvalu ,OCEANIA                            ,11810,26,454.2,20.03,1100,,59.3,22.18,7.11
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,67.83,1400,69.9,3.6,47.35,12.24
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,20.34,5400,99.7,259.9,8.82,14.39
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,14.51,23200,77.9,475.3,18.96,4.4
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.16,27700,99.0,543.5,10.71,10.13
United States ,NORTHERN AMERICA                   ,298444215,9631420,31.0,6.5,37800,97.0,898.0,14.14,8.26
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,11.95,12800,98.0,291.4,13.91,9.05
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,71.1,1700,99.3,62.9,26.36,7.84
Vanuatu ,OCEANIA                            ,208869,12200,17.1,55.16,2900,53.0,32.6,22.72,7.82
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,22.2,4800,93.4,140.1,18.71,4.92
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,25.95,2500,90.3,187.7,16.86,6.22
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,8.03,17200,,652.8,13.96,6.43
Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,,3700,50.0,118.6,,
West Bank ,NEAR EAST                          ,2460492,5860,419.9,19.62,800,,145.2,31.67,3.92
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1.0,,,,,,
Yemen ,NEAR EAST                          ,21456188,527970,40.6,61.5,800,50.2,37.2,42.89,8.3
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,88.29,800,80.6,8.2,41,19.93
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,67.69,1900,90.7,26.8,28.01,21.84
